"reef_name","global_label","year","Mean","SD","N","SE","surveyid","sub_region","optional","Bleaching","Cyclone","Density","Threat","Density.cat","Cyclone.cat","Bleaching.cat","Threat.cat","lng","lat"
"14034 Reef","ACR_BRA",2012,0.0151295336787565,0.0376816269372168,193,0.00271238285832449,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","ACR_TCD",2012,0.0295336787564767,0.0540089706615216,193,0.00388765077638874,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","BRA_nACR",2012,0.0761658031088083,0.0847288166219057,193,0.00609891367467455,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","CCA",2012,0.0275647668393782,0.0468905774346924,193,0.00337525761991929,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","EAM",2012,0.373056994818653,0.242262516586874,193,0.0174384375255248,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","FLP",2012,0.0598963730569948,0.0675307772218966,193,0.00486097171046224,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","GORG",2012,0.000103626943005181,0.00143963150149739,193,0.000103626943005181,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","MACRO",2012,0.00735751295336788,0.0213541969438263,193,0.00153710873047558,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","MSE",2012,0.0288082901554404,0.0717571826666063,193,0.00516519503127745,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","MSEM",2012,0.0201036269430052,0.0474998863738301,193,0.00341911663706562,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
"14034 Reef","NON_COLONIZABLE",2012,0.271709844559585,0.373733526332149,193,0.0269019278836733,15031,"Far Northern",TRUE,0.124344639480114,1.49714231491089,0.00536771072074771,3.35357809066772,"Low","Low","Low","High",144.6588966,-13.92851796
